Location,CowTagID,Sand,HardSubstrate,sum_total,sum_total_dead,sum_total_alive,sal_avg,temp_avg,TA_avg,pH_avg,phos_avg,NN_avg,silicate_avg,ammonia_avg,sal_max,temp_max,TA_max,pH_max,phos_max,NN_max,silicate_max,ammonia_max,sal_min,temp_min,TA_min,pH_min,phos_min,NN_min,silicate_min,ammonia_min,sal_CV,temp_CV,TA_CV,pH_CV,phos_CV,NN_CV,silicate_CV,ammonia_CV,sal_sd,temp_sd,TA_sd,pH_sd,phos_sd,NN_sd,silicate_sd,ammonia_sd
Cabral,C1,2.336448598,97.6635514,29,14,15,36.24142857142857,27.937142857142856,2310.261145285714,7.976237192312704,0.17115724185714284,0.6760733831428571,4.674597909714286,0.3052414822857143,36.58,29.35,2362.354403,8.051251381,0.23,2.51686028,6.538680142,0.637430379,35.9,26.49,2248.881745,7.837550779733506,0.13,0.08,2.847369785,0.02,5.850235402308213e-5,3.3774883797958564e-4,1.4698331144771825e-4,8.880674011665366e-5,0.0019972336821794485,0.011780578816210268,0.002953563925777667,0.008098935421073698,0.21202088845879577,0.9435737536469682,33.956983344309236,0.07083436234465015,0.03418410083860198,0.7964535775656351,1.38067237536478,0.2472131052864811
Cabral,C10,92.27272727,7.727272728,11,8,3,36.3,28.49125,2293.940940375,7.970281823615192,0.1867025695,0.409068535625,4.668473158,0.402691886125,36.5,29.99,2351.076783,8.064817779138096,0.24,0.49,6.79,0.894382275,36.04,27.17,2256.387788,7.853484084,0.139594965,0.31,3.184521033,0.18,4.07311893312242e-5,3.456526810009335e-4,1.3050388368457242e-4,8.524495299403532e-5,0.0017525848348131578,0.001605794496525352,0.0026658254348530027,0.005821050824006077,0.14785421727234385,0.9848076947567846,29.93682016619777,0.06794262994032911,0.032721209192634965,0.065688000320831,1.2445334486524922,0.2344089935548493
Cabral,C11,5.11627907,94.883720932,2,1,1,36.38125,28.68625,2311.39497425,7.978600091176749,0.210121639,0.72594002675,2.9282758918750003,0.3141750085,36.59,29.97,2333.809095,8.052661638594968,0.249897615,1.156297447,4.713742766,0.965451554,36.17,27.62,2260.350965,7.822619572,0.17,0.38,1.93,0.02,4.2730911166319735e-5,3.1356196933730873e-4,1.1940724980095537e-4,8.565330763278947e-5,0.001173228158721696,0.003159311206824425,0.0030247297096817616,0.00941797607262827,0.155460396186967,0.8994917042902374,27.599731707894257,0.06833934880885642,0.024652062363155494,0.2293470461993698,0.8857243088299172,0.2958892712670783
Cabral,C12,0.45045045,99.54954953999999,86,48,38,36.43714285714286,27.97714285714286,2329.5401737142856,7.996918983489566,0.21434354225,0.89141471875,2.56840254375,0.29709120237500003,36.65,28.83,2358.511584,8.058770289873383,0.277882817,1.973447265,4.61,0.92289297,36.19,27.19,2270.018906,7.886573556,0.15,0.24,1.332314071,0.02,4.558718528999605e-5,2.0921117857266487e-4,1.4256232377202045e-4,6.531326936106881e-5,0.0016667658878618504,0.00535100034215323,0.004403598883109111,0.008767946070697433,0.16610667828666276,0.585313103023867,33.210466048498475,0.05223049236272986,0.03572605045057753,0.47699604650316757,1.13102145730321,0.2604879640502657
Cabral,C13,3.196347032,96.803652968,16,13,3,36.21125,28.575,2287.8301595,7.923143253711363,0.21152857225,0.740531363625,4.93352995175,0.354191347,36.53,30.46,2332.698308,8.0690313229905275,0.29,1.164595177,6.18,1.098402673,35.3,26.62,2213.566904,7.712902032,0.146329616,0.44,2.834266218,0.02,1.0348991449095674e-4,4.896735016063388e-4,1.7923334067385062e-4,1.2648705996753243e-4,0.0018926788273083803,0.0027439415587546846,0.002099961326471768,0.009217354879702145,0.3747499166110657,1.399242030840113,41.00554423815735,0.1002175095863539,0.0400355650068346,0.20319747842119146,1.0360222101665126,0.32647073406187255
Cabral,C14,0,0,13,7,6,36.37833333333333,28.795,2301.4541705,7.96664872610118,0.19907821,0.5658509586666667,2.5230003455,0.40672912533333333,36.59,30.06,2339.79754,8.059177114289513,0.23,0.72154938,5.100120929,1.017612492,36.11,26.76,2248.772141,7.854626198,0.183916245,0.41,1.144260171,0.265309501,4.6173730698130176e-5,4.1785979438416785e-4,1.2472024174546177e-4,9.575476244977116e-5,8.248696906690894e-4,0.0018011629920439817,0.005135647727974642,0.006941671594441733,0.16797233665801453,1.2032272779292112,28.703792051086122,0.07628445562885905,0.016421358150165603,0.10191898057630087,1.295724099204631,0.28233800159585315
Cabral,C15,0.456621005,99.543379001,14,7,7,36.495,28.996666666666666,2316.979361,7.978755031249733,0.21303471833333334,0.7989350070000001,1.7562005125,0.33902811416666667,36.68,30.35,2340.212488,8.07988155948271,0.242252877,1.236714805,2.39,0.774708485,36.21,26.78,2292.997625,7.861279285,0.19,0.55,1.070596873,0.172605288,5.2918061266178895e-5,4.8639297783953194e-4,7.303423982811622e-5,9.46763643546092e-5,8.909390986839469e-4,0.002752397952015971,0.002447178953130359,0.006216386031944912,0.19312446459091986,1.4103775047420293,16.92188263280695,0.0755399518434771,0.01898009599402885,0.21989870770606657,0.4297736931666749,0.21075296333422913
Cabral,C16,29.51289398,70.48710602,10,3,7,36.34625,28.0675,2311.553447125,7.972638598124192,0.195550022875,0.5140826595,3.276665479,0.368500820125,36.7,29.2,2352.743261,8.082047534490528,0.217316469,0.732318774,8.53,1.01,35.89,26.73,2276.492556,7.829249103,0.171630058,0.3,1.312127494,0.02,8.598375213205311e-5,2.944527436620339e-4,1.0097303746272157e-4,1.0371364646497296e-4,8.455561191081236e-4,0.002922071052427083,0.006477102241961447,0.009268448542673,0.31251869509296354,0.8264552382734136,23.34045728136358,0.082687142095885,0.01653485184336898,0.1502186057879679,2.1223297320188577,0.3415430889261362
Cabral,C17,39.02439024,60.975609752000004,42,29,13,36.31,28.00625,2297.57212775,7.979222678178332,0.18798354675,0.365901716125,4.77321899025,0.38870135475,36.61,29.26,2347.220464,8.077316411328644,0.26,0.530171957,8.92,1.263361642,36,26.57,2255.996627,7.87160586,0.12,0.09,2.110028505,0.02,5.801464179385387e-5,3.0927920111932874e-4,1.3180786341447534e-4,8.55896727933596e-5,0.002224063222804285,0.003260282109407731,0.003944650796913688,0.009617382587337138,0.2106511643534834,0.8661750626348201,30.283807319937754,0.0682939058170638,0.0418087292818985,0.11929428188839239,1.8828682093733211,0.37382896408470057
Cabral,C18,0,99.999999995,2,1,1,36.41,27.9725,2325.875399,8.00336843784549,0.2122005185,0.69269217175,2.116053597625,0.31227981825,36.63,28.89,2358.186363,8.060575455,0.263230402,1.167508209,4.33,1.09709865,35.99,26.89,2304.619843,7.910831882,0.17,0.43,1.085825343,0.02,5.535225706473302e-5,2.280401942462636e-4,7.632666696025871e-5,5.5068118065836664e-5,0.001195042140305473,0.0029887392450992254,0.004908076598531902,0.010440770554878022,0.2015375679726929,0.6378854333553609,17.752631697053182,0.04407304380596662,0.025358856180217115,0.2070276278482238,1.0385753143742504,0.32604419312672606
